Survey Finding,Survey,Finding Category,Number,Penalty Amount,Description
78074618-90ee-44f1-936a-9ec416376513,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,Licensing Sm Group Rules R400.14 215 page 19; page 15,,"Consumer Fund sheets not kept up to date;  Consumer account over $2,000 limit; Provider not documenting cc transactions on a fund log; consumer cards locked in file cabinet in home; "
23495a3a-804d-4e67-aa8d-2f533664642d,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-325-0120(2)(b)(c) Health: Physician's Orders,,Health: Health Conditions 
420ae6d8-8785-4a35-ae3c-e344b13ff3cd,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-325-0120(2)(b)(c) Health: Physician's Orders,,Health: Health Conditions 
e3c0a92a-7ad0-45f5-ab04-d24816772147,f4686d41-a81a-4817-9b0e-0cfdef20b1db,Governing Body,WAC 388-78A-24 74                 WAC 388-112A-0495 ,,Training and home care aide certification requirements; facility long-term care workers' specialty training deadlines and  requirement for supervision until the training is completed
82e4e682-6cd3-46a8-b78c-54386e40e992,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-325-0120(3)(f) Health: Medication Disposal,,Health:  Medication Disposal 
30feb324-bfc7-4e6e-866c-b59972a4f44c,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-325-0120(3)(f) Health: Medication Disposal,,Health:  Medication Disposal 
3e1b91b2-eccc-4663-a405-cbe63c18806e,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-325-0350(1) Rights: Behavior Supports,,Rights: Behavior Support Plan Requirements
dca04c33-d5b7-4864-b7f8-b4e115093276,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-325-0350(1) Rights: Behavior Supports,,Rights: Behavior Support Plan Requirements
46aba8b2-e553-4352-bf45-66e4acdecfec,f5105540-86b9-4c97-9197-a8955f9685f0,Governing Body,WAC 388-78A-2474                {1)(2)(e)(5),,Training Requirements
852dea88-4ea2-4e22-954f-4cfebec0cb63,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-328-0430(8) ISP : Documentation,,ISP: Documentation 
275c4e69-bd74-408d-95d4-b45128301a77,e521b8f9-1713-42f2-9d78-de462c3674ba,Person Centered Planning/Active Supports,OAR 411-328-0430(8) ISP : Documentation,,ISP: Documentation 
6a289b3f-4dbb-4f4b-be94-191e52f11aa5,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Provider Manual Policy 05.06.01,,Satisfaction survey did not clearly identify Frankenmuth consumers
0d046d93-16be-490f-b3f1-4acc3d80ce3e,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,MDCH PIDP Site review report 2004,,Provider did not review PCP on consumer documentation on a monthly basis
fe23e7f9-d9f6-495a-9d99-891864233297,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Provider Network 05.06.03,,"All staff were due for performance eval, none completed"
5556328d-6eb0-4a98-b703-93daf71c8e51,ee7a11cf-5d9e-4053-8ad8-649500bd5dc6,Governing Body,W336 CFR(s): 483.460(c)(3)(iii),,Facility failed to ensure health status was assessed on a quarterly basis. 
19ded688-7f78-48ac-99f8-ef3aadeaa33a,c0383592-60db-4e8d-a686-feba9ba23ae6,Medical / Health,W336 CFR(s): 483.460(c)(3)(iii),,Nursing quarterly: No head to toe completed properly
ba3d0c84-8611-4caf-bdc5-1b81d32e44f3,43baf7c7-b76d-478b-81d9-84d55dbfd64c,Medical / Health,W336 CFR(s): 483.460(c)(3)(iii),,NURSING SERVICES-facility failed to ensure RN completed quarterly nursing assessments
d80c81b1-b541-4099-bbc1-4a49d9f652aa,155c2d02-11dc-4a60-a3c2-ee3195770c2e,Governing Body,B108 - Oar 411-325-0120(3)(a) ,,Health medication Storage: Storage not locked
32096f41-451d-4e88-a5be-b0813b42183a,21ccd518-18f3-482c-8aba-fb1fc1ebb1f5,Governing Body,B114 - Oar 411-325-0120(4)(5) ,,Health- Nursing services- Plans not accurate
6a8019d6-3a12-4dfe-9d60-d1e30ca5f19b,53b7482f-8678-4a90-a0f6-6a694c4d7d3f,Governing Body,B108 - Oar 411-325-0120(3)(a) ,,Health Medication Procurement & Storage
6a1ec474-3833-482e-aec0-1cd07e851fa2,eb550cfe-208a-4c8c-8190-4eca98cbb33a,Governing Body,B114 - Oar 411-325-0120(4)(5) ,,Health: Nursing services
3a5b1610-efdf-4589-8c0b-6a9f77bbcea1,66ec7ca3-fbc0-4229-ae34-a7ba01600354,Governing Body,B114 - Oar 411-325-0120(4)(5) ,,Health: Nursing services
1a116d38-9697-41f8-9bdf-ba68a43b1eaf,5e34c613-6183-417e-af76-8654970a7657,Governing Body,B114 - Oar 411-325-0120(4)(5) ,,Health: Nursing services
9f8159d2-d30b-4b4a-bc27-fd52115bbcd8,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W268 CFR(s): 483.450 (a)(1)(i),,CONDUCT TOWARD CLIENT -facility failed to implement a policy that promotes independence which resulted in the overuse of incontinence supplies
6cef53e7-8456-4471-84ae-9b3a45a75211,1e6d0cc5-f2ed-471a-9b50-ff11a95bb955,Rights and Protection,"T22 76503, 73909, 73930, 76908",,ensure required items are posted
d2dfb8f1-d6d4-4be1-b744-68b30f4456e6,cdfb2265-10b1-45bb-9500-29e9d91502f7,Person Centered Planning/Active Supports,Oar 411-325-0190(4) (a) -(g) ,,Incident Reports 
a6b8705f-d25f-4907-9d31-1035a3e582dd,cdfb2265-10b1-45bb-9500-29e9d91502f7,Person Centered Planning/Active Supports,Oar 411-325-0190(4) (a) -(g) ,,Incident Reports 
1bd8b006-cb50-41d0-b198-8cd92ab96b0a,6ebef5b4-2aaa-4d0a-b6e5-e876ada8601a,Person Centered Planning/Active Supports,Oar 411-325-0190(4) (a) -(g) ,,Incident Reports 
5d1d9f40-7290-4cce-8fd4-586601b86b4f,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W295 CFR(s): 483.450(d)(1)(i),,PHYSICAL RESTRAINTS facility failed to ensure restrictive measures used were part of the IPP leading to overuse of the restrictive measure.
e8c250be-ea42-495c-9f1e-57979c8705df,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W316 CFR(s)483.450(e)(4)(iii),,DRUG USAGE: drug used for the control of inappropriate behavior must be withdrawn annually.  Facility failed to justify lack of annual reduction trial
264a7df1-8230-48b2-b167-98e5ce2062fb,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W474 CFR(s)483.480(b)(2)(iii),,MEAL SERVICES: facility failed to ensure food was served in a form consistent with the developmental level of the client.
fc362ce3-cf8a-4c7b-95e0-ecab19ea5f65,f0cad57a-39d5-449a-a240-f82b0a19d224,Medical / Health,E006 CFR(s) 483.475(a)(1)-(2),,Plan Based on All Hazards Risk Assessment-facility failed to maintain a complete written emergency preparedness Plan. 
2e20fddd-b0fd-4002-89ee-b01bfbb083b0,9bc10f91-2822-4989-8da8-80e8344822e7,Medical / Health,E006 CFR(s) 483.475(a)(1)-(2),,Plan Based on All Hazards Risk Assessment-facility failed to maintain a complete written emergency preparedness Plan. 
fa5b2e6d-6848-43dc-9e76-32d9fd1a3a83,9bfe8ecf-0da6-4cdd-b62c-a725c601d949,Medical / Health,E006 CFR(s) 483.475(a)(1)-(2),,Plan Based on All Hazards Risk Assessment-facility failed to maintain a complete written emergency preparedness Plan. 
7d7ed8f7-8693-45f5-95a7-56a1c5e759f1,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9 CSR 45-5.010 (3) (C) 2. K.,,57 employee records did not contain evidence of confidentiality training
fca373f4-19b3-4583-99d1-cb6c9dbecbd6,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W262 CFR(s) 483.440(f)(3)(i),,PROGRAM MONITORING AND CHANGE: facility failed to ensure restrictive measure used was approved by HRC
8ac25387-53d6-490a-90b3-1ca5d4c68efd,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9CSR 45-5.010 (3) (D) 1. G.,,"1/2 people with a physician ordered diet had no evidence of staff training on their diet. Diet was 1500 calorie limit and ""avoid friend fatty food"""
198ddc99-cd59-4cf2-a189-21257b747fcf,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9CSR 45-5.010 (3) (D) 2. W.,,"No documentation of adaptive equipment trainingg; one individual utilizes a wheelchair, one individual utilizes an ankle brace and shoe insert"
738d6b63-97b9-450e-bbb3-2cbaea0c254a,064a4989-0e01-4d07-ace9-6e1caa71a4c2,Person Centered Planning/Active Supports,OAR  411-325-0025(3)(4)(5) ,,Program Management- Staff training 
6f7732df-17ab-4b00-af8e-3055a214a046,32a5050a-5f32-42f1-9104-0283aa6e5a59,Governing Body,B - 0027 - Oar 411-325-0025,,Staff training
39af128c-da2c-4c35-8292-26d67642e9d1,dbd8ba63-65b6-43cb-8c82-8ab77ccffaed,Governing Body,Emergency preparedness plan,,Plan Requirements/Communication
9ac88c2b-1d25-455a-92f1-888c49de28a4,dbd8ba63-65b6-43cb-8c82-8ab77ccffaed,Governing Body,Emergency preparedness plan,,Plan Requirements/Communication
6351af72-d5ee-416b-9d3d-5a9c93fb0a8c,c0383592-60db-4e8d-a686-feba9ba23ae6,Medical / Health,W252  CFR(s): 483.440(e)(1),,Inaccuracy in data collection and frequency of data collection
4d53bd77-4da1-4654-ba94-b1ea1d293378,43baf7c7-b76d-478b-81d9-84d55dbfd64c,Medical / Health,W252  CFR(s): 483.440(e)(1),,Program Documentation-facility failed to ensure staff collected data
9378705f-077a-4031-b283-77886827dbe4,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W252  CFR(s): 483.440(e)(1),,PROGRAM DOCUMENTATION-facility failed to provide complete data collection
75e8722e-8921-4985-9630-cd618552c228,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W472 CFR(s)483.480(b)(2)(i),,MEAL SERVICES: facility failed to ensure proper portions
7dfb5ca4-9200-4a1a-9682-aa82555e416a,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9 CSR 45-5.010 (3) C 2. A.,,3/18 Individuals did not have current signed rights statement
7308bace-7859-4691-bdce-e2c8dc9f1327,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9 CSR 45-5.010(3)(C) 2. I.,,"2/7 ISP's were not present in the home, 2/7 ISP's were not signed by a guardian"
f00f6863-0f3a-4e7c-b6fd-7505b18aaa0c,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9 CSR 45-5.010(3)(D) 1. L.,,Prescribed PRN medications not present in the home; 1 unreported medication error
d99fb0f6-010d-4cff-a34a-c09fcfa2969d,c36e7d5d-0eba-46c2-a0e4-6c3dd0611b66,Person Centered Planning/Active Supports,Oar 411-325-0025(3)(4)(5) ,,Program Management: Staff Training
d61a69b4-339b-4988-8329-b15b27a04ab7,c36e7d5d-0eba-46c2-a0e4-6c3dd0611b66,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(a)(d) ,,Health: Monitoring Health Conditions 
ea82dba1-f7a8-407d-a837-f4db12dfb545,5df676b4-cfb0-4407-92a5-e596a84b86d3,Person Centered Planning/Active Supports,Oar 411-325-0025(3)(4)(5) ,,Program Management: Staff Training
627a5edc-3230-4f94-bd42-95c118c7004b,5df676b4-cfb0-4407-92a5-e596a84b86d3,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(b)(c) ,,Health: Physicians orders 
74fbc6cf-eae6-4cc4-924e-3a0321124fc0,b116c85a-c0d1-478e-b191-fd7590f2e769,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(b)(c) ,,Health: Physician's Orders 
05086dce-67c9-4d6b-b69a-b8126cba7251,c0383592-60db-4e8d-a686-feba9ba23ae6,Medical / Health,W312 CFR(s): 483.450(e)(2),,ISP program: Psychotropic meds need to be tied to mal-adaptive behaviors
77ce3664-ded7-4745-a2ac-b3da7fa8a784,c0383592-60db-4e8d-a686-feba9ba23ae6,Medical / Health,W369 CFR(s): 483.460(k)(2),,"Med pass: Medication should not have bene crushed, however, staff crushed it. "
b3b81865-ea51-4519-9762-e4cf03f26c4d,43baf7c7-b76d-478b-81d9-84d55dbfd64c,Medical / Health,W312 CFR(s): 483.450(e)(2),,DRUG USAGE-facility failed to ensure the use of the psychotropic medications to treat behaviors was part of the ISP
da8a4927-9997-4b1c-9b8f-4cf0b973fb83,43baf7c7-b76d-478b-81d9-84d55dbfd64c,Medical / Health,W369 CFR(s): 483.460(k)(2),,DRUG ADMINISTRATION-facility failed to administered drugs according to physician's orders
38a5d017-522f-4dd5-9c2c-e5a750af20e0,a327e509-eb68-4129-9bf7-b1186ab67d66,Medical / Health,W249 CFR9s): 483.444(d)(1),,PROGRAM IMPLEMENTATION: facility failed to ensure active treatment
684674e0-119f-48de-bcdb-45ac55fd3069,bb59aaa6-d46f-40f3-9748-1d837ddb4e4b,Medical / Health,W368 CFR(s): 483.460(k)(1),,Drug Administration: Facility failed to ensure one of the clients failed to receive correct dose of nasal spray.
ce293740-caaf-492a-aa53-5eec83bd7b68,f3fa3a80-c51a-43c8-9b1f-e7a6fc459519,Medical / Health,E025 CFR(s): 483.475(b)(7),,Arrangement with other Facilities - no written arrangement to receive clients & continue care.
be419161-ec29-47de-8cd9-dab0dad8a223,f3fa3a80-c51a-43c8-9b1f-e7a6fc459519,Medical / Health,E037 CFR(s): 483.475(d)(1),,EP Training Program
08d2a139-3882-4e7d-b3c4-12be2f6179bc,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Manual Type A pg 4,,Personal care logs are not completed for the 3rd shift
5489c985-2769-4d85-a006-6453b52dfb98,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Auditing Procedure,,Repeat citation in medication certification
760215c4-e367-4e1f-805d-2b3ffbd1ec95,9b829399-eb97-4000-bf83-bedbe6be80a4,Person Centered Planning/Active Supports,9 CSR 45-5.010 (3) C 2.C.,,"1 person's restrictions were not signed by their guardian. 1 person did not have a signed plan in the home, person had a restriction for ""sharps"""
ecddb18e-5c87-47c5-ab21-ee1617a2c93e,cdfb2265-10b1-45bb-9500-29e9d91502f7,Person Centered Planning/Active Supports,OAR 411-325-0120(2)(a)(D),,Health: Monitoring Health Conditions
3d226b36-80a0-410b-9ec1-b5ecfe985579,cdfb2265-10b1-45bb-9500-29e9d91502f7,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(b)(c),,Health: Physician's Orders
6cd59e81-20d7-4d32-b3e2-37502a629eb6,cdfb2265-10b1-45bb-9500-29e9d91502f7,Person Centered Planning/Active Supports,OAR 411-325-0120(2)(a)(D),,Health: Monitoring Health Conditions
443f7c2a-8736-412b-8afe-e1affb6413a3,cdfb2265-10b1-45bb-9500-29e9d91502f7,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(b)(c),,Health: Physician's Orders
594cfb10-21be-42d8-8080-523a70d82dca,c36e7d5d-0eba-46c2-a0e4-6c3dd0611b66,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(b)(c),,Health: Physician's Orders 
630c5a7a-8996-4d47-afed-29ed684cd46e,5df676b4-cfb0-4407-92a5-e596a84b86d3,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(a)(d),,Health: Monitoring Health
e8bf59ff-7125-4ebf-b55e-a1ca19f124ef,6ebef5b4-2aaa-4d0a-b6e5-e876ada8601a,Person Centered Planning/Active Supports,Oar 411-325-0025(3)(4)(5),,Program Management: Staff Training
7c092141-2102-4d43-a363-359967588d12,6ebef5b4-2aaa-4d0a-b6e5-e876ada8601a,Person Centered Planning/Active Supports,Oar 411-325-0120(2)(b)(c),,Health: Physician's Orders 
d3d8d189-a0f7-4dc3-8bc9-e351af15c999,6ebef5b4-2aaa-4d0a-b6e5-e876ada8601a,Person Centered Planning/Active Supports,Oar 411-325-0300(3)(a-B) ,,Rights: Complaints 
a7a515a2-2915-4ad8-a012-44926ca5453f,4d9c2981-6f54-4937-ab7f-ac029a432fe0,Governing Body,B-0375 - Oar 411-325-0430,,Health Medication Administration: Safety Plan
ff7cc29f-120e-4046-ac75-6ac3f3fe1c0a,4d9c2981-6f54-4937-ab7f-ac029a432fe0,Governing Body,B-0375 - Oar 411-325-0430,,Documentation: Financial Plan 
e692b38f-0aa9-4ceb-87fd-56354311cbe0,4d9c2981-6f54-4937-ab7f-ac029a432fe0,Governing Body,B-0375 - Oar 411-325-0430,,Health: following MAR
2864d10e-7393-48c7-8bb7-c78b40ba76cf,4d9c2981-6f54-4937-ab7f-ac029a432fe0,Governing Body,B-0375 - Oar 411-325-0430,,Documentation: MAR Not Clear
55c51ff4-fc80-489b-9372-6f9787c99529,21ccd518-18f3-482c-8aba-fb1fc1ebb1f5,Governing Body,B-0375 - Oar 411-325-0430,,ISP- Documentation- Not measurable 
4cf77464-50e4-4015-b05c-33524e7e938a,53b7482f-8678-4a90-a0f6-6a694c4d7d3f,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: Req and Preparation 
1a2225a3-0831-432b-ba0b-9726e1bb3439,a65fc5f0-460f-4a17-9d5a-44416f8275ef,Governing Body,B-0375 - Oar 411-325-0430,,Documentation ISP:Safetly Plan
16d097e1-ce6a-4b22-9aab-30d33bf08778,a65fc5f0-460f-4a17-9d5a-44416f8275ef,Governing Body,B-0375 - Oar 411-325-0430,,Documentation ISP:Interaction Guidelines
1dc5540c-6cd8-47fb-b9d7-f06ccb3278b1,a65fc5f0-460f-4a17-9d5a-44416f8275ef,Governing Body,B-0375 - Oar 411-325-0430,,Documentation:Fall Protocol 
54607bfc-af33-4f0c-8ef5-cfaf06616d00,a65fc5f0-460f-4a17-9d5a-44416f8275ef,Governing Body,B-0375 - Oar 411-325-0430,,Documentation:Risk Management Plan
e355c769-6041-47d8-8206-9b1e825f4484,a65fc5f0-460f-4a17-9d5a-44416f8275ef,Governing Body,B-0375 - Oar 411-325-0430,,Documention: Deydration Protocol
f859884f-742f-40e6-bc85-4235fb0347c8,a02bd902-ae73-4010-ae5f-2b4cd976c25b,Governing Body,B-0375 - Oar 411-325-0430,,ISP: Req and Preperation 
1d4c1c98-e124-4ba7-89dd-8a30893551b4,d1acd318-1130-4b81-9f6f-b72a3b9a30c5,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: Req and Preparation 
dc6f6d25-2ea2-4305-b3f0-4d701460854a,eb550cfe-208a-4c8c-8190-4eca98cbb33a,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: Req and Preparation 
92dbd985-b57b-40e6-892d-78cfd74b5892,66ec7ca3-fbc0-4229-ae34-a7ba01600354,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: Req and Preparation 
05e4d4f3-965a-45d0-bb7e-144d06f53b12,88361adf-bec4-48a4-b32b-ab6db320726a,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: Req and Preparation 
61f523c2-02e7-4916-803e-0f8bd3fe4fee,5e34c613-6183-417e-af76-8654970a7657,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: Req and Preparation 
8b39354d-0022-4ef4-bf77-54d15879f113,d0058afb-f984-4b14-b67c-d666e64e52ac,Governing Body,B-0375 - Oar 411-325-0430,,Individual Support Plan: req and Preparation 
9e548d55-a481-448f-9c3e-240d9e386567,2b3fec6d-0323-4992-b128-a1f4b3d1cd74,Medical / Health,W159  CFR(s): 483.430(a) ,,Treatment program not monitored by QIDP
a66e3140-525d-48cf-a26b-111bc48dba53,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(i) ,,"Are there people who do not receive HCBS in the setting who are not paid staff or volunteers?
Reviewer Observation Comment:
The reviewer observed no evidence that the setting ensures individuals have opportunities to interact with people who do not receive HCBS services."
1b4c7f2e-f600-49e3-95c2-6a06c9bf41b4,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,D42 CFR §441.301(c)(4)(i),,"Is the setting near at least four of the following; parks, recreational activities, schools and colleges/universities, public facilities such as library, community center, job center, restaurants, stores,
etc.

Reviewer Observation Comment:
The setting is observed to not be with in 1/8 of a mile from at least four parks, recreational areas, schools, etc. The reviewer observed the submitted documentation from the setting that included individualized progress notes, care plans, sample activity schedule, community based schedules, and the setting's handbook. The reviewer found that though there is a statement in the handbook that discusses a community based program it only occurs 1 time per month. There is no evidence that the setting encourages access to the community and that they are based on individual interests. "
0854c90f-edf5-4ffa-a200-819550328c14,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(i) ,,"Does the setting offer options for people receiving HCBS to receive services in community-based integrated settings in addition to the current setting?
Reviewer Observation Comment:
The reviewer observed no evidence that daily community based activities are offered to individuals. The setting is not observed to have policies that encourage community based options or opportunities to access the community. "
dc1704f0-c112-4217-b660-2eef3000e515,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,A42 CFR §441.301(c)(4)(i),,"Does the setting offer opportunities for people receiving HCBS to seek competitive integrated employment in the community in addition to the setting?
Reviewer Observation Comment:
Though there is documentation related to a prevocational program and statements about assisting individuals with employment based services, there is no evidence that setting offers opportunities for
participants to explore, seek and work in competitive integrated employment. There is no policy or procedure identified or posted within the setting that demonstrates a process for individuals to request employment services. "
0dc89202-298d-4eb0-ba01-5369d4eaf567,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(i) ,,"Does the setting provide information regarding types of transportation to people receiving HCBS in a convenient location?
Reviewer Observation Comment:
The reviewer observed no evidence that transportation resources are being provided to participants or posted in the setting."
beba6d21-8701-48f0-8f8f-a329e684d1b3,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(i) ,,"Does the setting utilize transportation that allows access to the broader community and activities including paid employment for people receiving HCBS?
Reviewer Observation Comment:
The reviewer observed no policy regarding how the setting assists in coordination of transportation for community based activities, or how individuals with paid employment in the community are transported. "
9fe3f360-7d25-401b-8f58-9a1138bca159,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(i) ,,"Does the setting provide vending machines, a cafeteria, restaurant, and/or shopping opportunities, etc., for people receiving HCBS to make decisions about how to spend their own money?
Reviewer Observation Comment:
The reviewer observed no evidence to support how this benchmark is being met including whether there are vending machines or other opportunities for individuals to make choices in how they spend their money. The reviewer found no evidence of shopping or going out to eat or other community based outings taking place during week that would allow routine choices in how they spend their money. "
d8771575-47e8-48ae-8d37-2aaa36904725,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(ii),,"Does the setting provide people receiving HCBS with the choice of services offered in non-disability specific settings?
Reviewer Observation Comment:
The reviewer observed that the setting offers services in non-disability, community-based settings only one time per month. The remainder of the samples appeared to only include facility based activities. "
70005d0d-dc3b-4173-8d00-715a8766c362,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(ii),,"Is the setting able to adapt activities and schedules to the needs and preferences of people who receive HCBS?
Reviewer Observation Comment:
The reviewer observed a general schedule within the handbook including details about what set activities are offered daily. The reviewer did not observe the individual to have choice in which activities they engaged in based on their interests as outlined on their care plan. Reviewed three separate care plans for individuals with different interests. The reviewer did not find that these interests were implemented into the activity routines. "
81ebe328-445b-428d-887c-b1570afc9c4c,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(ii),,"Does the setting require all direct-support professionals to be trained in person-centered planning strategies?
Reviewer Observation Comment:
The reviewer observed no staff training related to person centered planning or a policy and procedure that outlined that staff require to be familiar with the care plans for those they serve. "
8b39f7a5-87a0-4dc1-b7f7-ec43f5277579,1b13eddc-3f76-45d3-9ccc-5a6028c0cb1c,Rights and Protection,42 CFR §441.301(c)(4)(ii),,"Does the setting include non-disability specific locations in providing services such as integrated employment, volunteer opportunities in the community, or engaging in integrated community activities
for people receiving HCBS?
Reviewer Observation Comment:
The reviewer observed that community-based ADS activities are taking place once per month. There were no other community-based opportunities observed in non-disability settings. "
