Name,State,Survey List Category,Survey Type,Description
OR - Self Reported Investigation - Self Reported,OR,Self Reported Investigation,Self Reported,OR Self Reported Incident
TX - Self Reported Investigation - Self Reported,TX,Self Reported Investigation,Self Reported,TX Self Reported Incident
WA - Self Reported Investigation - Self Reported,WA,Self Reported Investigation,Self Reported,WA Self Reported Incident
CO - Self Reported Investigation - Self Reported Inc.,CO,Self Reported Investigation,Self Reported Inc.,CO Self Reported Inc.
IL - Self Reported Investigation - Self Reported Inc.,IL,Self Reported Investigation,Self Reported Inc.,IL Self Reported Inc
IN - Self Reported Investigation - Self Reported Inc.,IN,Self Reported Investigation,Self Reported Inc.,IN Self Reported Incident
KS - Self Reported Investigation - Self Reported Inc.,KS,Self Reported Investigation,Self Reported Inc.,KS Self Reported Incident
MI - Self Reported Investigation - Self Reported Inc.,MI,Self Reported Investigation,Self Reported Inc.,MI Self Reported Inc.
MN - Self Reported Investigation - Self Reported Inc.,MN,Self Reported Investigation,Self Reported Inc.,MN Self Reported Inc
MO - Self Reported Investigation - Self Reported Inc.,MO,Self Reported Investigation,Self Reported Inc.,MO Self Reported Inc.
WI - Self Reported Investigation - Self Reported Inc.,WI,Self Reported Investigation,Self Reported Inc.,WI Self Reported Incident
CO - ICF-Full - State Licensure - ICF,CO,ICF-Full,State Licensure - ICF,CO State Licensure - ICF
TX - Financial - Trust Fund|Medicaid Audit,TX,Financial,Trust Fund/Medicaid Audit,Trust Fund/Medicaid Audit
TX - Conversion - TX - Conversion,TX,Conversion,TX - Conversion,TX - Conversion
NJ - External Reported Incident - Unannounced Survey,NJ,External Reported Incident,Unannounced Survey,Unannounced Survey
WA - Conversion - WA - Conversion,WA,Conversion,WA - Conversion,WA - Conversion
TX - Self Reported Investigation - Waiver - Residential Survey,TX,Self Reported Investigation,Waiver - Residential Survey,Waiver - Residential Survey
WI - Conversion - WI - Conversion,WI,Conversion,WI - Conversion,WI - Conversion
