Survey,State,State Survey Type,Survey Date,Received Date,Sanction,PoC Due Date,PoC Submit Date,Appeal Due Date,Appeal Submit Date,Comments
fea3e1b3-13e1-4b8c-9847-28d4966d9c92,CO,CO - ICF-Full - State Licensure - ICF,9/26/2019,,,,,,,
f445218b-a108-41e0-bf7b-1503fcc25a9a,IL,IL - HCBS - BQM 116 Med Mgmt,2/19/2019,2/21/2019,,,,,,POC / POI Approved 3/18/19
afd0c64e-99ae-4b5e-b729-33e4b08497ba,IL,"IL - Risk and Compliance - Bureau of Accreditation, Licensure, & Certification",11/18/2019,,,,,,,
47bc4221-2308-4869-a735-7598c40914d1,IL,IL - Conversion - IL - Conversion,2/13/2018,,,,,,,2/16/2018
6f933bcf-0e55-4d5c-8242-5c2a218ee363,IL,IL - Life Safety|Fire - Fire Insp.,7/9/2018,,,,,,,
b07b1992-0635-4909-8db0-b48b50d37943,IL,IL - HCBS - BQM 115 CILA Licensure,9/10/2018,,,,,,,
c8d9e610-c838-4f49-a488-4c9f27db2541,IL,IL - Conversion - IL - Conversion,9/11/2018,,,,,,,
8ed7a5fc-dcbc-48b0-bf5c-51047b9446d0,IL,IL - HCBS - BQM 115 CILA Licensure,9/12/2018,,,,,,,
a3f793cc-a781-4d68-9c27-a86818280078,IL,IL - HCBS - BQM 115 CILA Licensure,9/13/2018,,,,,,,
46ccfb18-b777-4617-b88d-cc2f77bae567,IL,IL - Conversion - IL - Conversion,9/13/2018,,,,,,,
33114782-6112-49a2-b2bb-8b241506e879,IL,IL - HCBS - BQM 115 CILA Licensure,5/21/2018,,,,,,,
3e37aec1-ff56-4c23-a069-886a4e9759e9,IL,IL - Conversion - IL - Conversion,9/25/2018,,,,,,,
edea68b3-1a73-47a1-b945-ad788fa809ca,IL,IL - HCBS - BQM 115 CILA Licensure,5/21/2018,,,,,,,
86104778-2506-418d-9b45-87e4c9713dae,IN,IN - ICF-Abbrev|Focused - ICF - Focused Fundamental Recertification ,1/24/2019,,,,,,,"POC rejected as incomplete, addendum to POC submitted 3/12/19.   The facility was found to be in noncompliance with federal tag W198, if the tag has not been corrected by July 24, 2019 then the facility must submit documentation updating ISDH on the client’s status"
56b23866-56e7-48e2-b3ae-e09b79dad765,IN,IN - Life Safety|Fire - ICF - Life Safety Survey,3/12/2019,,,,,,,4/12/2019
29bccb55-015d-4b36-b605-49300b62ba9b,IN,IN - Conversion - IN - Conversion,8/16/2019,,,,,,,
896d92a6-d3e2-4194-8053-6a9a0ae2b18a,IN,IN - Life Safety|Fire - ICF - Life Safety Survey,10/3/2019,,,,,,,
8b1ef5a2-af98-461f-a14e-b91dddbaaca6,IN,IN - Conversion - IN - Conversion,1/19/2018,,,,,,,1/19/2018
6d18bb3d-6dce-4fb0-92a0-5ae90e65fa7c,IN,IN - Life Safety|Fire - ICF - Life Safety Survey,1/19/2018,,,,,,,2/26/2018
e10600ef-71cc-4c27-9b37-09770131c8bb,IN,IN - Conversion - IN - Conversion,5/25/2018,,,,,,,
e689c76b-cf22-4ad1-a8f4-882d4c7902b2,IN,IN - Life Safety|Fire - ICF - Life Safety Survey,7/30/2018,,,,,,,
5b2d0224-0e0f-4bb9-8b52-61b4a26a8c50,KS,KS - Life Safety|Fire - Fire Insp.,10/25/2019,,,,,,,
e41c5299-bba1-44e2-b33c-4a7c0817ef39,KS,KS - Life Safety|Fire - Fire Insp.,10/25/2019,,,,,,,
399355cc-e3e6-4905-ae6d-c7c55b52d87e,KS,KS - Life Safety|Fire - Fire Insp.,11/14/2019,,,,,,,
275a54a7-ec3d-4393-be8a-a4f3714b8368,KS,KS - Life Safety|Fire - Fire Insp.,11/14/2019,,,,,,,
a93f7723-0b26-474c-937d-47250b4d1282,KS,KS - HCBS - LIcensure,1/23/2020,,,,,,,
ae39c68e-ffa5-4b0d-a242-f101a79fa016,MI,MI - Conversion - MI - Conversion,2/28/2019,,,,,,,
82eab92a-60b2-4150-b3b6-c99f4e2bca8c,MI,MI - Conversion - MI - Conversion,3/18/2019,,,,,,,4/17/2019
dcf477c2-aef3-43aa-b33a-9abf6395966f,MI,MI - Conversion - MI - Conversion,4/17/2019,,,,,,,6/12/2019
a9b4cf50-9022-4fc6-84d6-92b3ddbefe86,MI,MI - Conversion - MI - Conversion,5/23/2019,,,,,,,
084b8470-bd83-43eb-be6e-5b6dc5a08f2d,MI,MI - Conversion - MI - Conversion,6/6/2019,,,,,,,
8463c791-3341-41ec-a604-abeceb521cca,MI,MI - Conversion - MI - Conversion,7/3/2019,,,,,,,
6422eabb-0604-4a1c-b0f7-785b20b69fce,MI,MI - Conversion - MI - Conversion,7/9/2019,,,,,,,
6e854e69-e584-4ff0-8368-738f423970b9,MI,MI - Conversion - MI - Conversion,8/14/2019,,,,,,,
369e9882-1f6c-4c6e-9650-f6413e705ad3,MI,MI - Conversion - MI - Conversion,10/8/2019,,,,,,,
93a65ae3-7151-44b8-94a0-68dfaa436731,MI,MI - Conversion - MI - Conversion,11/19/2019,,,,,,,
54e4de65-16b1-4160-ab88-65a82345cea3,MI,MI - Conversion - MI - Conversion,3/19/2018,,,,,,,
54ef48f5-75f6-4b1a-b3eb-977469354dfb,MI,MI - Conversion - MI - Conversion,4/17/2018,,,,,,,
11bf84fc-d7a4-49ab-ba1d-9c19313e6aa9,MI,MI - Conversion - MI - Conversion,5/3/2018,,,,,,,
b4e46c1f-04b9-4ff2-a876-77b29de91c75,MI,MI - HCBS - Rec. Rights - Annual,5/24/2018,,,,,,,
a7cc3360-b4ea-4da9-b65f-865223d10d8f,MI,MI - HCBS - Rec. Rights - Annual,7/19/2018,,,,,,,
4385ede7-8206-45c8-9327-69d8919d4107,MI,MI - HCBS - Rec. Rights - Annual,7/20/2018,,,,,,,
2164d0c4-86a5-465a-8711-d8d99fa56b71,MI,MI - Life Safety|Fire - Fire Insp.Annual,10/22/2018,,,,,,,
4aba6c92-a071-4d28-b813-73b8b148d702,MN,MN - Conversion - MN - Conversion,8/28/2019,,,,,,,
826f4472-533c-4dc7-814b-db2f64cac00e,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
86ebf252-a032-4908-80c3-fe5faf216dd4,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
8935bce4-590d-409b-a5f9-ea7a8d9c43af,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
681347b8-feaf-46a3-bd16-6472b527f166,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
191f777b-1b0c-4e7b-97ea-51980ae17c84,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
bf134331-19dc-4e64-b227-8492c43fa387,MN,MN - Self Reported Investigation - DHS - Licensure,9/5/2019,,,,,,,10/9/2019
287ccd60-3414-4293-b4c4-30830325cc9c,MN,MN - Self Reported Investigation - DHS - Licensure,9/5/2019,,,,,,,10/9/2019
db28b84a-288c-43fa-bb5f-f18601f7a7ca,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
8c6639d7-3247-475a-a58f-c79614824e3f,MN,MN - Conversion - MN - Conversion,9/5/2019,,,,,,,10/9/2019
26459a06-6bb2-41b7-990e-26c88ff377bc,MN,MN - Conversion - MN - Conversion,1/25/2018,,,,,,,
9b829399-eb97-4000-bf83-bedbe6be80a4,MO,MO - HCBS - DMH Licensure,10/3/2018,,,,,,,
09cebf3c-14ec-4d44-96f2-2eb82a5767f2,NJ,NJ - Life Safety|Fire - Fire|Life Safety,1/10/2018,,,,,,,
62dbd74c-be32-451e-b11c-d235caf463d0,NJ,NJ - Risk and Compliance - Licensing Survey,6/20/2018,,,,,,,9/28/2018
43e2d814-03e9-4b0b-b7af-4d628ea1402c,NJ,NJ - Life Safety|Fire - Fire|Life Safety,7/17/2019,,,,,,,"Manager called sprinkler company to get inspection. Once inspection is completed, their report will be sent to Fire Marshall and this will be closed. Inspection must happen by August 1st or we will have to request an extension."
e521b8f9-1713-42f2-9d78-de462c3674ba,OR,OR - Self Reported Investigation - Licensing Revisit Survey,1/8/2019,,,,,,,
334599f8-cfb2-4616-bd23-765986eb3c83,OR,OR - Self Reported Investigation - Licensing Survey,1/15/2019,2/28/2019,,,,,,
cdfb2265-10b1-45bb-9500-29e9d91502f7,OR,OR - Self Reported Investigation - Licensing Survey,2/6/2019,,,,,,,POI due 4/1/19
c36e7d5d-0eba-46c2-a0e4-6c3dd0611b66,OR,OR - Self Reported Investigation - Licensing Survey,5/16/2019,,,,,,,
5df676b4-cfb0-4407-92a5-e596a84b86d3,OR,OR - Self Reported Investigation - Licensing Survey,7/16/2019,,,,,,,
b116c85a-c0d1-478e-b191-fd7590f2e769,OR,OR - Self Reported Investigation - Licensing Survey,7/24/2019,,,,,,,
6ebef5b4-2aaa-4d0a-b6e5-e876ada8601a,OR,OR - Self Reported Investigation - Licensing Survey,7/30/2019,,,,,,,
064a4989-0e01-4d07-ace9-6e1caa71a4c2,OR,OR - Self Reported Investigation - Licensing Survey,1/17/2018,,,,,,,
155c2d02-11dc-4a60-a3c2-ee3195770c2e,OR,OR - Self Reported Investigation - Licensing Survey,2/15/2018,,,,,,,
23cc3d0b-c7f8-42bc-9eb4-f3f11181c047,OR,OR - Self Reported Investigation - Licensing Survey,3/13/2018,,,,,,,
725c5e8d-84ee-4b83-bc5b-d8e971d35713,OR,OR - Self Reported Investigation - Licensing Survey,4/11/2018,,,,,,,
4d9c2981-6f54-4937-ab7f-ac029a432fe0,OR,OR - Self Reported Investigation - Licensing Survey,5/8/2018,,,,,,,
32a5050a-5f32-42f1-9104-0283aa6e5a59,OR,OR - Self Reported Investigation - Licensing Survey,5/29/2018,,,,,,,
21ccd518-18f3-482c-8aba-fb1fc1ebb1f5,OR,OR - Self Reported Investigation - Licensing Survey,5/29/2018,,,,,,,
53b7482f-8678-4a90-a0f6-6a694c4d7d3f,OR,OR - Self Reported Investigation - Licensing Survey,6/20/2018,,,,,,,
a65fc5f0-460f-4a17-9d5a-44416f8275ef,OR,OR - Self Reported Investigation - Licensing Survey,7/11/2018,,,,,,,
400113c7-f518-425e-a8a6-8e2610f16a01,OR,OR - Self Reported Investigation - Licensing Survey,7/11/2018,,,,,,,
a02bd902-ae73-4010-ae5f-2b4cd976c25b,OR,OR - Self Reported Investigation - Licensing Survey,7/17/2018,,,,,,,
d1acd318-1130-4b81-9f6f-b72a3b9a30c5,OR,OR - Self Reported Investigation - Licensing Survey,8/27/2018,,,,,,,
0f113523-3f39-4c92-820d-42f97beaddb0,OR,OR - Self Reported Investigation - Licensing Survey,9/6/2018,,,,,,,Follow up review passed License 1/8/19
eb550cfe-208a-4c8c-8190-4eca98cbb33a,OR,OR - Self Reported Investigation - Licensing Survey,9/6/2018,,,,,,,Follow up review passed License 1/8/19
66ec7ca3-fbc0-4229-ae34-a7ba01600354,OR,OR - Self Reported Investigation - Licensing Survey,9/11/2018,,,,,,,
88361adf-bec4-48a4-b32b-ab6db320726a,OR,OR - Self Reported Investigation - Licensing Survey,10/17/2018,,,,,,,
5e34c613-6183-417e-af76-8654970a7657,OR,OR - Self Reported Investigation - Licensing Survey,10/25/2018,,,,,,,
d0058afb-f984-4b14-b67c-d666e64e52ac,OR,OR - Self Reported Investigation - Licensing Survey,10/30/2018,,,,,,,
1ac27b61-a281-44b4-aeb2-057cd2647184,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,Inspection #317722768
48275a5c-b7de-473d-a09c-23570c98bf89,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,Inspection #317722770
d77b83e6-7a26-4e88-b734-399d4cc3b6f7,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,Inspection #317722771
0db58526-9636-4ca6-89c6-5db25a607209,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,Inspection #317722772
3adb94d0-05bc-4436-80b4-091558586da1,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,    Inspection # 317722765
b8b891ad-4d59-4859-8681-4d341fed91ad,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,Inspection #317722767
2ebddc99-04f3-426a-9cca-c95e99641fb6,OR,OR - Risk and Compliance - OSHA Routine Survey,12/21/2018,,,,,,,Inspection #317722769
e9bb3c43-6940-42c4-a56b-1ed4efba1a6f,TX,TX - Self Reported Investigation - Investigation Survey,2/2/2018,,,,,,,
8b6afba1-fea8-45e4-b9ae-5ea96bcf9111,TX,TX - Conversion - TX - Conversion,3/6/2018,,,,,,,
1229c78e-bec7-4fd0-8599-bd769efbf861,TX,TX - Conversion - TX - Conversion,3/8/2018,,,,,,,
4664274f-bcd7-4d4b-8729-a1e912cb6850,TX,TX - ICF-Full - ICF - Health Safety,3/14/2018,,,,,,,
e5593d5c-4672-4cba-bdf9-973fa12aa6a8,TX,TX - ICF-Full - ICF - Health Safety,3/15/2018,,,,,,,
40552a88-b83d-4615-aa82-6db933d62f76,TX,TX - Conversion - TX - Conversion,3/15/2018,,,,,,,
883efa84-32d3-4038-b9d2-ac31032ec7f9,TX,TX - Conversion - TX - Conversion,4/3/2018,,,,,,,
f499d6dc-ef26-4392-a3c3-a38395058326,TX,TX - Self Reported Investigation - Waiver - Residential Survey,4/19/2018,,,,,,,
b916b7ef-9786-4079-b79f-a229c4caf92f,TX,TX - ICF-Revisit - ICF - Revisit,10/1/2018,,,,,,,
9d393df3-094b-433e-9536-549baf0f6dda,TX,TX - Conversion - TX - Conversion,10/17/2018,,,,,,,
dbd8ba63-65b6-43cb-8c82-8ab77ccffaed,TX,TX - Conversion - TX - Conversion,12/12/2018,,,,,,,
20fabde2-a2da-4f1d-9141-96134576b488,TX,TX - Self Reported Investigation - Waiver - Residential Survey,1/4/2019,,,,,,,
b1b10e11-a8b8-465c-abe4-5395cfde5b86,TX,TX - Self Reported Investigation - Waiver - Residential Survey,2/7/2019,,,,,,,
d901296f-7efa-46e2-9a80-abf88e1b5dc5,TX,TX - ICF-Revisit - ICF - Revisit,2/10/2019,,,,,,,
0b854243-69a1-4a1d-be45-e3635abe99e9,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,2/21/2019,,,,,,,3/28/2019
7565c1d5-d638-4b0f-936e-5c8830231081,TX,TX - ICF-Full - ICF - Health Safety,3/14/2019,,,,,,,4/25/2019
80b36ca5-97b1-4123-b8d6-965d2bb5d965,TX,TX - ICF-Full - ICF - Health Safety,4/4/2019,,,,,,,
81ea3dcb-8956-43e6-8c8f-9923960e2ac9,TX,TX - Self Reported Investigation - Waiver - Residential Survey,4/4/2019,,,,,,,
75483dc5-7ba5-4c3d-a4d5-4b13e3f7bff3,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,4/8/2019,,,,,,,5/23/2019
b37cb20c-3685-4a94-af72-d15aaab167a6,TX,TX - ICF-Revisit - ICF - Revisit,4/8/2019,,,,,,,5/22/2019
4d232a83-4f53-4046-8da6-367a5e85d2d4,TX,TX - Self Reported Investigation - Waiver - Residential Survey,5/2/2019,,,,,,,
eb2fb271-3d59-4d27-a85f-b3d9ad39fe41,TX,TX - ICF-Full - ICF - Health Safety,5/31/2019,,,,,,,6/6/2019
5a4de8c9-9cd9-459c-b56a-6bf09a8b3daf,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,6/6/2019,,,,,,,6/20/2019
d7529b41-bfe3-41df-8846-a48f2b9cce4c,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,7/19/2019,,,,,,,
ee7a11cf-5d9e-4053-8ad8-649500bd5dc6,TX,TX - ICF-Full - ICF - Health Safety,7/25/2019,,,,,,,8/19/2019
2b6cb669-a9c0-4c66-84bc-3a02646b4d73,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,7/31/2019,,,,,,,8/14/2019
584180f7-3603-47d5-bb42-2544dc57d698,TX,TX - External Reported Incident - HCS - Certification,8/16/2019,,,,,,,
07443987-18cd-4342-bdaa-7266c01044d7,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,8/30/2019,,,,,,,
d69b2630-3588-4e3b-93a3-78d950420c0e,TX,TX - ICF-Revisit - ICF - Revisit,9/10/2019,,,,,,,
f4b6e069-511e-42f6-81b1-50e06f1db7f3,TX,TX - ICF-Revisit - ICF - Revisit,9/12/2019,,,,,,,
39267098-6943-42d2-96be-8d3a8066b61f,TX,TX - ICF-Full - ICF - Health Safety,9/17/2019,,,,,,,
f1fbf26b-23d9-4c19-8074-c74c8796c1d7,TX,TX - Conversion - TX - Conversion,9/26/2019,,,,,,,10/2/2019
8c890c5c-68ce-490a-ba36-6773b84181df,TX,TX - ICF-Full - ICF - Health Safety,11/14/2019,,,,,,,
dd720c37-d5e6-456b-9f54-898968a60f24,TX,TX - Life Safety|Fire - ICF - Life Safety Survey,11/18/2019,,,,,,,
7852a651-0c95-4d7f-b161-392b5397d231,TX,TX - Conversion - TX - Conversion,8/14/2018,,,,,,,
7af24bbf-cf1e-4548-81e3-432f87d9dc3b,WA,WA - Self Reported Investigation - RCS - Revisit,1/29/2018,,,,,,,
ba09a209-b6e1-483f-96ad-9f8da79d9d52,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,3/2/2018,,,,,,,
d6515381-eb3b-4d1f-8c90-218623fe3acc,WA,WA - Conversion - WA - Conversion,4/17/2018,,,,,,,
7fb78313-71e4-4c2e-954f-c0558d84afc3,WA,WA - Conversion - WA - Conversion,4/18/2018,,,,,,,
d384a7e4-9a81-4bc7-b7d8-59e9192793c9,WA,WA - Conversion - WA - Conversion,4/20/2018,,,,,,,
c31b9ab4-1ad4-4972-85b8-06bd66290b0a,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,5/10/2018,,,,,,,
5c908976-4019-480b-a348-261d408f2f75,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,5/10/2018,,,,,,,
e2b4c6d7-0444-4a28-950c-d2dbba80dafb,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,7/12/2018,,Hold on Admission,,,,,
db1c0aa2-e9b7-4e72-b17d-9d58c133f9dd,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,9/12/2018,,,,,,,
1e6d7caf-446b-4a2b-beb2-30eafc40de7d,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,11/1/2018,,,,,,,"Based on observation, interview and record review, the facility failed to obtain prescribed medications in a timely manner for 2 of 4 sampled residents. This failure resulted in the residents not receiving the medications and placed them at risk of compromised health.  The facility failed to develop and maintain a disaster plan including a place to evacuate residents from the facility, provisions for resident medications and emergency communication plan.  Based on observation, interview and record review, the facility failed to include snacks served on the menu, check food temperature prior to serving, have the diet manual available to staff preparing and serving food as ordered and the diet manual was approved by a dietitian."
f4686d41-a81a-4817-9b0e-0cfdef20b1db,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,11/27/2018,,,,,,,
f5105540-86b9-4c97-9197-a8955f9685f0,WA,WA - Self Reported Investigation - RCS - Full Agency Certification,12/10/2018,,,,,,,"The facility failed to ensure staff follow the process for controlled medications resulting in possible risk of misappropriation of medication. This is an uncorrected deficiency previously cited on the Statement of Deficiencies report dated September 12, 2018. "
0eff4aaa-afc6-47a7-a2c7-7a4f1c91cbbb,WA,WA - Self Reported Investigation - Self Reported,12/13/2018,,,,,,,"This is a repeat deficiency previously cited on 11/09/2016, 01/13/2017, and 04/28/2017,  This is a repeat deficiency previously cited on 06/05/2018, 06/12/2018, and 07/12/2018.  This is a repeat, uncorrected deficiency previously cited on 7 /12/18.  This is a repeat, uncorrected deficiency previously cited on 9/6/16, 11/9/16, 12/12/16, 2/16/17 and 7/12/18.  This is a repeat, uncorrected deficiency previously cited on 9/6/16, 11/9/16, 12/12/16, 2/16/17 and 7/12/18.  This is a repeat, unconected deficiency previously cited on 3/2/18 and 7/12/18.  This is a repeat, uncorrected deficiency previously cited on 9/6/16, 11/9/16, 12/12/16, 2/16/17 and 7/12/18.  This is a repeat, uncorrected deficiency previously cited on 11/9/16, 1/3/17, 4/28/17 and 7/12/18."
5de420cb-10b3-4c29-a459-c28d6c433ad1,WA,WA - Self Reported Investigation - RCS - Licensing Survey,4/17/2019,,,,,,,5/6/2019
fd3e8587-e6ba-45ef-b68d-53dbddbff0dc,WA,WA - Self Reported Investigation - RCS - Licensing Survey,6/3/2019,,,,,,,
383af193-4ee6-4256-9b5a-926b51d33c07,WI,WI - Self Reported Investigation - Self Reported Inc.,4/1/2019,,,,,,,
cdf2d557-602a-46ec-88de-81a7ed678038,WI,WI - Self Reported Investigation - Self Reported Inc.,7/24/2019,,,,,,,
c8f10880-14be-4555-8841-cdff3022c347,WI,WI - HCBS - DHS State Survey,2/6/2018,,,,,,,
072e9acf-d642-44c5-bf78-e5bbfbc43b69,WI,WI - Self Reported Investigation - Self Reported Inc.,2/8/2018,,,,,,,
41ea2362-2766-4a8c-8331-0135eb2022ff,WI,WI - Self Reported Investigation - Self Reported Inc.,2/21/2018,,,,,,,
03ae5c8c-8b64-4977-8134-a4725ab05b65,WI,WI - Conversion - WI - Conversion,4/23/2018,,,,,,,
bb8cc1e5-b7b8-4d6a-be2f-cc45b5bc5779,WI,WI - Self Reported Investigation - Self Reported Inc.,5/16/2018,,,,,,,
0470a8c0-b9f8-40f7-afb6-116ac70826c9,WI,WI - HCBS - DHS State Survey,6/19/2018,,,,,,,
04bd8add-fced-4510-a580-7bebed7d5889,WI,WI - HCBS - DHS State Survey,6/19/2018,,,,,,,
67c32e93-5eeb-4bc7-a58f-f3b78cb567a5,WI,WI - Self Reported Investigation - Self Reported Inc.,7/10/2018,,,,,,,
3b0f7a54-c932-4b8c-8b36-b659c592421f,WI,WI - Self Reported Investigation - Self Reported Inc.,8/1/2018,,,,,,,
2f5b0166-3159-471c-914a-2c04ddd98a1a,WI,WI - HCBS - DHS State Survey,8/2/2018,,,,,,,
f3c99296-b8c7-4ed9-8dbb-a637a79feddd,WI,WI - Self Reported Investigation - Self Reported Inc.,8/14/2018,,,,,,,
4771b8a6-7225-4751-b092-1b6fee9fb8be,WI,WI - Self Reported Investigation - Self Reported Inc.,8/14/2018,,,,,,,
7e8e6d8f-46f6-4d64-b4ab-33b276b8c78c,WI,WI - Self Reported Investigation - Self Reported Inc.,8/15/2018,,,,,,,
